title,company,location,posted_time,description,link
Full Stack Developer,Louisiana Economic Development,"New Orleans, LA",1 week ago,"DXC Technology (NYSE: DXC) is the world s leading independent, end-to-end IT services company, helping clients harness the power of",https://www.dice.com/jobs/detail/Full-Stack-Developer-Louisiana-Economic-Development-New-Orleans-LA-70112/90833617/DXC599203
UI Programmer,Louisiana Economic Development,"New Orleans, LA",1 week ago,High Voltage Software seeks a UI Programmer. Qualifications: • Degree in Computer Science/Engineering or equivalent work...,https://www.dice.com/jobs/detail/UI-Programmer-Louisiana-Economic-Development-New-Orleans-LA-70112/90833617/HVS676163
Data Integration Specialist,"Paul, Weiss, Rifkind, Wharton & Garrison LLP","New York, NY",2 weeks ago,"Job Description Under the direction of the Financial Systems Director, the Data Integration Specialist is responsible for the...",https://www.dice.com/jobs/detail/Data-Integration-Specialist-Paul%2C-Weiss%2C-Rifkind%2C-Wharton-%26-Garrison-LLP-New-York-NY-10114/10120399/1210%26%2345159
Account Executive (Selling IT...,Confidential Company,"New York, NY",2 weeks ago,The client is a leading provider of IT solutions within the enterprise to SMB Markets. As a result of their,https://www.dice.com/jobs/detail/Account-Executive-%28Selling-IT-Solutions%26%2345Cisco%26%2347Vmware%26%2347Microsoft%2C-AWS%2C-etc.%29-Confidential-Company-New-York-NY-60290/10358667/5915593
MS Software Engineer,Allscripts Healthcare,"New Hyde Park, NY",1 day ago,Overview Welcome to Allscripts! Our Mission is to be the most trusted provider of innovative solutions that empower all stakeholders,https://www.dice.com/jobs/detail/MS-Software-Engineer-Allscripts-Healthcare-New-Hyde-Park-NY-11040/10127643A/2019%26%234523126
MS Sr Software Engineer,Allscripts Healthcare,"New York, NY",1 day ago,Overview Welcome to Allscripts! Our Mission is to be the most trusted provider of innovative solutions that empower all stakeholders,https://www.dice.com/jobs/detail/MS-Sr-Software-Engineer-Allscripts-Healthcare-New-York-NY-10001/10127643A/2019%26%234522496
iOS Developer,Eliassen Group,"New York, NY",1 week ago,iOS Developer Full Time Employment / Direct Hire or 12 months Contract Our industry leading and innovative client in the,https://www.dice.com/jobs/detail/iOS-Developer-Eliassen-Group-New-York-NY-10001/10444409/JP_iosDevNYC
Sr. iOS Developer,Eliassen Group,"New York, NY",1 week ago,"Sr. iOS Developer New York, NY Rate: $165,000.00 - $175,000.00 or $65.00/hour W2 - $75.00/hour W2 + Health, Dental, Vision,",https://www.dice.com/jobs/detail/Sr.-iOS-Developer-Eliassen-Group-New-York-NY-10001/10444409/6332596
Senior iOS Developer,Eliassen Group,"New York, NY",2 weeks ago,"Senior iOS Developer Troy, MI (Remote) Our industry leading and technology focused client is searching for an experienced Senior iOS",https://www.dice.com/jobs/detail/Senior-iOS-Developer-Eliassen-Group-New-York-NY-10001/10444409/6310456
Jr. iOS Developer,Eliassen Group,"New York, NY",1 week ago,"Jr. iOS Developer New York, NY Pay: $50.00-$60.00 or up to $140,000.00 salary Contract: 6+ month contract to hire or",https://www.dice.com/jobs/detail/Jr.-iOS-Developer-Eliassen-Group-New-York-NY-10001/10444409/6332488
